Albert Einstein,3,The important thing is not to stop questioning.,2025-03-10 00:00:00.0000000
Confucius,3,"Wherever you go, go with all your heart.",2025-03-30 00:00:00.0000000
Mark Twain,3,Kindness is the language which the deaf can hear and the blind can see.,2025-04-18 00:00:00.0000000
Maya Angelou,3,Try to be a rainbow in someone's cloud.,2025-02-14 00:00:00.0000000
Oscar Wilde,3,I can resist everything except temptation.,2025-05-07 00:00:00.0000000
Mahatma Gandhi,2,The weak can never forgive. Forgiveness is the attribute of the strong.,2025-01-25 00:00:00.0000000
Steve Jobs,2,Innovation distinguishes between a leader and a follower.,2025-04-22 00:00:00.0000000
Aristotle,1,"We are what we repeatedly do. Excellence, then, is not an act but a habit.",2025-05-02 00:00:00.0000000
Benjamin Franklin,1,An investment in knowledge pays the best interest.,2025-05-03 00:00:00.0000000
Nelson Mandela,1,It always seems impossible until it is done.,2025-05-01 00:00:00.0000000
